year,gdp_trillion_usd
2000,48.4256856280522
2001,49.4128689395676
2002,50.5548354077443
2003,52.1189184533713
2004,54.4652315844897
2005,56.673544164731794
2006,59.2103481134045
2007,61.823800945165395
2008,63.117398807667
2009,62.2851017840748
2010,65.1030294757978
2011,67.2768218135523
2012,69.11429295920671
2013,71.1104119225902
2014,73.338313563659
2015,75.6219139616462
2016,77.7344817551293
2017,80.4177439870915
2018,83.0505873622228
2019,85.275610244218
2020,82.8032800504778
2021,88.11374389315
2022,91.1123029171808
2023,93.7988354976453
2024,96.4926908179605
